,arja,avatar,cardumen,fixminer,genprog,jGenProg,jKali,jmutrepair,kali,kpar,rsrepair,tbar
Chart,80.10%,33.23%,-15.15%,0.00%,44.20%,3.33%,0.00%,11.36%,14.29%,36.69%,32.04%,50.85%
Chart,9,14,2,4,2,1,2,3,7,9,7,13
Closure,n.a.,54.41%,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,39.16%,n.a.,35.07%
Closure,n.a.,27,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14,n.a.,122
Lang,-836.92%,51.19%,32.00%,57.28%,57.45%,-75.00%,25.93%,16.87%,n.a.,32.01%,-11.25%,66.32%
Lang,1,35,2,6,1,1,2,4,n.a.,48,2,27
Math,9.32%,64.24%,-37.50%,3.42%,78.90%,23.33%,38.10%,17.71%,3.99%,36.41%,29.09%,33.75%
Math,8,36,4,13,11,4,8,5,11,39,11,69
Mockito,n.a.,52.75%,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13.50%
Mockito,n.a.,22,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,23
Time,n.a.,63.14%,n.a.,5.06%,n.a.,n.a.,n.a.,n.a.,n.a.,44.13%,n.a.,82.30%
Time,n.a.,23,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,19,n.a.,22
Overall,36.00%,54.23%,-7.32%,8.33%,76.60%,7.81%,29.49%,16.34%,6.36%,37.55%,22.31%,52.74%
Overall,18,157,8,30,14,6,12,12,18,129,20,276
